Date,Open,High,Low,Close,Volume,Open_Interest,Year
1999-04-19,521.0,524.0,520.0,522.75,44.0,2450.0,1999
1999-04-20,527.0,530.5,527.0,530.25,166.0,2541.0,1999
1999-04-21,529.0,529.5,527.0,529.5,77.0,2541.0,1999
1999-04-22,526.5,532.0,518.0,518.5,152.0,2597.0,1999
1999-04-23,520.0,520.5,516.5,520.25,124.0,2636.0,1999
1999-04-26,517.0,517.0,512.5,514.5,187.0,2757.0,1999
1999-04-27,516.5,518.0,510.0,512.5,406.0,2940.0,1999
1999-04-28,512.0,514.0,508.5,513.5,519.0,3166.0,1999
1999-04-29,513.25,513.25,508.0,509.5,66.0,3190.0,1999
1999-04-30,507.5,510.5,507.5,510.5,139.0,3258.0,1999
1999-05-03,512.0,513.0,508.5,512.5,218.0,3462.0,1999
1999-05-04,513.0,515.0,509.0,511.5,425.0,3273.0,1999
1999-05-05,510.5,510.5,506.5,508.0,195.0,3386.0,1999
1999-05-06,506.5,509.0,505.0,506.25,86.0,3385.0,1999
1999-05-07,505.0,505.5,499.0,501.0,385.0,3619.0,1999
1999-05-10,501.0,502.5,498.0,502.25,181.0,3513.0,1999
1999-05-11,500.5,502.5,499.5,501.0,125.0,3512.0,1999
1999-05-12,499.0,504.0,498.5,499.25,451.0,3701.0,1999
1999-05-13,497.0,499.25,493.5,493.75,316.0,3755.0,1999
1999-05-14,492.75,494.0,490.5,492.25,59.0,3771.0,1999
1999-05-17,494.0,495.0,493.0,494.0,87.0,3749.0,1999
1999-05-18,490.75,497.5,488.0,497.25,222.0,3835.0,1999
1999-05-19,496.5,496.75,492.5,492.5,326.0,3883.0,1999
1999-05-20,493.25,493.25,489.5,491.0,539.0,4032.0,1999
1999-05-21,488.0,488.5,484.5,484.75,310.0,4134.0,1999
1999-05-24,481.5,481.5,475.0,477.5,167.0,4156.0,1999
1999-05-25,478.5,482.0,478.5,482.0,351.0,4166.0,1999
1999-05-26,481.75,481.75,477.75,478.0,326.0,4176.0,1999
1999-05-27,478.75,479.5,478.0,479.25,292.0,4142.0,1999
1999-05-28,483.5,488.5,483.0,483.5,139.0,4154.0,1999
1999-06-01,476.5,480.0,475.0,479.5,78.0,4156.0,1999
1999-06-02,479.5,479.5,474.75,479.5,442.0,4268.0,1999
1999-06-03,483.5,489.0,481.5,486.0,199.0,4222.0,1999
